id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
,,,,,North Carolina,13.0,,,https://api.congress.gov/v3/member/K000405?format=json,False,2025-07-28T12:49:47.020680
,,,,,North Carolina,8.0,,,https://api.congress.gov/v3/member/H001102?format=json,False,2025-07-28T12:49:47.020686
,,,,,North Carolina,10.0,,,https://api.congress.gov/v3/member/H001101?format=json,False,2025-07-28T12:49:47.020692
,,,,,North Dakota,,,,https://api.congress.gov/v3/member/F000482?format=json,False,2025-07-28T12:49:47.020697
,,,,,North Carolina,11.0,,,https://api.congress.gov/v3/member/E000246?format=json,False,2025-07-28T12:49:47.020703
,,,,,Nebraska,1.0,,,https://api.congress.gov/v3/member/F000474?format=json,False,2025-07-28T12:49:47.020709
,,,,,Nebraska,2.0,,,https://api.congress.gov/v3/member/B001298?format=json,False,2025-07-28T12:49:47.020715
,,,,,North Carolina,7.0,,,https://api.congress.gov/v3/member/R000603?format=json,False,2025-07-28T12:49:47.020720
,,,,,North Carolina,12.0,,,https://api.congress.gov/v3/member/A000370?format=json,False,2025-07-28T12:49:47.020726
,,,,,North Carolina,9.0,,,https://api.congress.gov/v3/member/H001067?format=json,False,2025-07-28T12:49:47.020732
,,,,,Nebraska,3.0,,,https://api.congress.gov/v3/member/S001172?format=json,False,2025-07-28T12:49:47.020738
,,,,,North Carolina,5.0,,,https://api.congress.gov/v3/member/F000450?format=json,False,2025-07-28T12:49:47.020744
,,,,,Missouri,3.0,,,https://api.congress.gov/v3/member/O000177?format=json,False,2025-07-28T12:49:47.020749
,,,,,Minnesota,3.0,,,https://api.congress.gov/v3/member/M001234?format=json,False,2025-07-28T12:49:47.020755
,,,,,Northern Mariana Islands,,,,https://api.congress.gov/v3/member/K000404?format=json,False,2025-07-28T12:49:47.020761
,,,,,Montana,2.0,,,https://api.congress.gov/v3/member/D000634?format=json,False,2025-07-28T12:49:47.020767
,,,,,Missouri,1.0,,,https://api.congress.gov/v3/member/B001324?format=json,False,2025-07-28T12:49:47.020773
